protein_id,algorithm,time,score,checked,placed,hash
11313,dfs_bnb_mpi,14.65,-10,11,4330298,"[-1, -2, -1, -1, 2, 1, 2, 1, 1, 2, -1, -1, -1, -2, -1, 2, 2, 1, 1, 1, 2, 1, -2, 1]"
11314,dfs_bnb_mpi,65.5492,-8,9,15462912,"[-1, -1, 2, 1, 2, -1, -1, -2, -2, -1, -1, -2, 1, -2, -2, 1, 2, 2, 1, 1, 1, -2, -1, -1]"
11315,dfs_bnb_mpi,63.4549,-9,10,14851780,"[-1, -1, 2, 2, 1, -2, 1, 1, -2, -2, -1, -1, -1, -2, -1, -1, 2, 1, 2, 2, -1, -2, -1, 2]"
11316,dfs_bnb_mpi,22.0369,-12,13,6380292,"[-1, -1, 2, 2, 2, 2, 1, -2, -2, -2, 1, 1, 1, 2, 1, 2, -1, 2, -1, -1, -2, 1, -2, -1]"
11317,dfs_bnb_mpi,54.1488,-13,14,12963481,"[-1, -1, 2, 1, 2, -1, 2, 2, 1, -2, 1, 2, 2, 1, -2, 1, -2, -1, -2, 1, -2, -1, -1, 2]"
11318,dfs_bnb_mpi,4.85637,-12,13,1323702,"[-1, -1, 2, 1, 1, 1, -2, 1, -2, -1, -1, -1, -1, -2, -2, -2, 1, 2, 2, 1, 1, -2, -1, -2]"
11319,dfs_bnb_mpi,61.1419,-9,10,17216568,"[-1, -2, 1, 1, 2, 1, 2, -1, -1, 2, 2, 2, -1, -2, -2, -1, 2, -1, -1, -2, 1, -2, 1, 1]"
11320,dfs_bnb_mpi,11.3076,-11,12,2576589,"[-1, -1, 2, 1, 1, 2, 1, -2, 1, 2, 1, -2, 1, -2, -1, -1, -1, -2, 1, 1, -2, 1, 2, 1]"
11321,dfs_bnb_mpi,12.8256,-6,7,3780757,"[-1, -1, 2, 1, 2, 2, 1, 1, -2, 1, 2, 1, 1, -2, -1, -2, -1, -2, -2, -1, 2, 2, -1, 2]"
11322,dfs_bnb_mpi,76.9926,-8,9,20491508,"[-1, -1, 2, 1, 2, 1, 2, 2, 2, -1, -2, -2, -1, -2, -1, 2, 2, -1, -2, -1, -2, 1, -2, 1]"
11323,dfs_bnb_mpi,5.36886,-8,9,1594902,"[-1, -2, 1, -2, 1, 2, 1, 1, 2, -1, -1, 2, 1, 1, 2, -1, -1, 2, 2, -1, -2, -2, -2, -1]"
11324,dfs_bnb_mpi,0.483091,-7,8,116995,"[-1, -1, 2, 2, -1, -2, -2, -2, -1, -1, 2, 1, 2, 2, 2, -1, -2, -2, -1, -1, -2, 1, -2, -1]"
11325,dfs_bnb_mpi,59.1998,-7,8,13262029,"[-1, -1, 2, 2, -1, 2, 2, 2, 2, -1, -2, -2, -2, -2, -1, -2, 1, 1, -2, -1, -1, -1, 2, 2]"
11326,dfs_bnb_mpi,56.3354,-13,14,12862637,"[-1, -1, 2, 1, 2, 1, -2, 1, -2, 1, -2, -1, -2, 1, -2, -1, -1, 2, 2, -1, -1, -2, 1, -2]"
11327,dfs_bnb_mpi,28.2873,-10,11,7411087,"[-1, -1, 2, 2, -1, -2, -1, 2, 2, 1, 1, 1, -2, -2, 1, 1, 2, 1, 2, -1, 2, -1, -2, -2]"
11328,dfs_bnb_mpi,7.86399,-5,6,2431820,"[-1, -1, 2, 2, 1, 2, 2, 2, -1, -2, -2, -1, -2, -2, -1, 2, -1, -2, -2, 1, 1, -2, 1, 1]"
11329,dfs_bnb_mpi,223.025,-10,11,53056793,"[-1, -1, 2, 1, 2, 1, 2, 2, -1, -2, -1, 2, -1, -2, -1, -2, -1, -2, 1, -2, 1, 2, 2, 1]"
