protein_id,algorithm,time,score,checked,placed,hash
937,dfs_bnb_mpi,0.84786,-11,11,192850,"[-1, -1, 2, 2, 2, 1, 1, 1, -2, -1, -1, -2, 1, 1, -2, 1, 2, 2, 2]"
938,dfs_bnb_mpi,3.46176,-11,11,779722,"[-1, -1, 2, 2, 2, 2, 1, -2, 1, 2, 1, -2, -2, -1, -1, -2, 1, 1, -2]"
939,dfs_bnb_mpi,2.14915,-12,13,515518,"[-1, -2, -2, -2, 1, 2, 2, 1, 2, 1, 1, -2, -1, -2, 1, -2, -1, -1, 2]"
940,dfs_bnb_mpi,3.52002,-11,11,785381,"[-1, -1, 2, 2, 2, 2, 1, 1, 2, 1, -2, -2, -1, -1, -2, -2, 1, 2, 1]"
941,dfs_bnb_mpi,0.642964,-11,12,148669,"[-1, -1, 2, 2, 2, 2, 1, -2, 1, -2, -1, -2, 1, 1, 2, 1, -2, -2, -1]"
942,dfs_bnb_mpi,1.43042,-11,12,325527,"[-1, -1, 2, 2, 2, 2, 1, -2, 1, 1, -2, -1, -1, -2, 1, 1, 1, 2, 2]"
943,dfs_bnb_mpi,1.30504,-12,13,295843,"[-1, -2, 1, 1, -2, -2, -1, 2, -1, -2, -2, 1, 1, 1, 2, 2, 2, 2, -1]"
