protein_id,algorithm,time,score,checked,placed,hash
552,dfs_bnb_mpi,2.72603,-10,11,719156,"[-1, -1, 2, 2, 2, 2, 2, 1, 1, -2, -1, -2, 1, -2, 1, -2, -1, -1, 2]"
553,dfs_bnb_mpi,0.481284,-10,10,126512,"[-1, -1, 2, 2, 2, 2, 2, 1, -2, -2, -2, -2, 1, 1, 2, -1, 2, 2, 2]"
554,dfs_bnb_mpi,0.857285,-11,12,195832,"[-1, -1, 2, 2, 2, 2, 1, 1, 1, -2, -1, -1, -2, -2, 1, 2, 1, -2, 1]"
555,dfs_bnb_mpi,1.23487,-11,12,306469,"[-1, -2, 1, 1, 2, 2, 1, 1, -2, -1, -2, 1, -2, -1, -1, -2, -1, 2, -1]"
556,dfs_bnb_mpi,1.02824,-11,11,263722,"[-1, -1, 2, 2, 2, 2, 2, 1, 1, -2, -1, -2, 1, -2, 1, -2, -1, -1, 2]"
557,dfs_bnb_mpi,3.65679,-10,11,890653,"[-1, -1, 2, 2, -1, 2, -1, -2, -1, -2, 1, 1, -2, -1, -1, -2, 1, 1, 1]"
558,dfs_bnb_mpi,0.54689,-10,10,124140,"[-1, -1, 2, 2, 2, 2, 2, 1, 1, -2, -1, -2, 1, -2, -1, -2, 1, 1, 2]"
559,dfs_bnb_mpi,3.63788,-11,12,954866,"[-1, -2, 1, 1, 2, 2, 1, 1, -2, -1, -2, 1, -2, -1, -2, -1, 2, -1, -1]"
