protein_id,algorithm,time,score,checked,placed,hash
376,dfs_bnb_mpi,0.003664,-2,3,1055,"[-1, -1, 2, 2, 2, 2, 2, -1, -2, -2, -2, -2, -2, -2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
377,dfs_bnb_mpi,9.2e-05,0,1,30,"[-1, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
378,dfs_bnb_mpi,7.1e-05,0,1,30,"[-1, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
379,dfs_bnb_mpi,0.002379,-1,2,586,"[-1, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, -2, -2, -2, -2, -2, -2, 1, 2, 2, 2, 2, 2, 2, 2]"
380,dfs_bnb_mpi,0.726073,-2,3,224668,"[-1, -1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -1, -1, -1, -1, 2, 2, 2]"
381,dfs_bnb_mpi,8.2e-05,0,1,30,"[-1, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
382,dfs_bnb_mpi,0.066986,-2,3,21315,"[-1, -1, 2, 2, -1, -2, -2, -2, 1, 1, 1, 1, 2, 2, 1, -2, -2, -2, -1, -1, -1, -1, -1, -1, 2, 2, 2, 2, 2]"
383,dfs_bnb_mpi,0.192877,-2,3,59504,"[-1, -1, 2, 2, 1, -2, 1, 2, 2, 2, 2, 2, 2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -1, -1, -1, -1, 2, 2, 2]"
730,dfs_bnb_mpi,0.000176,-1,2,43,"[-1, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, -2, -2, 1, 2, 2, 2, 2, 2]"
