protein_id,algorithm,time,score,checked,placed,hash
424,dfs_bnb_mpi,2.33523,-10,11,606478,"[-1, -2, 1, 1, 2, 2, 2, 1, -2, 1, 2, 1, 2, -1, 2, -1, -2, -1, 2, -1, -2, -2, -2, -1]"
425,dfs_bnb_mpi,14.3661,-12,13,4175413,"[-1, -2, 1, -2, 1, 2, 2, 1, -2, 1, 1, -2, -1, -2, -2, -1, -2, -1, 2, -1, 2, 1, 1, 2]"
426,dfs_bnb_mpi,2.82357,-10,11,819613,"[-1, -2, -1, -2, -1, 2, 2, 1, 2, 1, 2, 1, -2, 1, -2, -2, -1, -2, -1, -2, 1, 1, 2, 1]"
427,dfs_bnb_mpi,14.3494,-10,10,4178983,"[-1, -1, 2, 1, 2, 2, 1, 1, 1, 1, -2, -1, -1, -1, -2, 1, -2, -2, 1, 2, 2, 1, 1, 2]"
428,dfs_bnb_mpi,15.5626,-11,12,4110782,"[-1, -1, 2, -1, -2, -1, 2, 2, 2, -1, 2, -1, -2, -2, 1, -2, -2, -1, 2, -1, 2, 2, -1, -2]"
429,dfs_bnb_mpi,8.29974,-11,12,2174197,"[-1, -1, 2, 2, 2, 1, 2, -1, 2, -1, -1, -2, 1, -2, -1, -2, 1, -2, -1, -1, -2, 1, 1, -2]"
430,dfs_bnb_mpi,24.7895,-12,13,6524506,"[-1, -1, 2, 1, 2, 2, 1, 1, -2, -1, -2, 1, 1, -2, -1, -2, -1, -1, -1, -2, 1, -2, 1, 2]"
431,dfs_bnb_mpi,4.77004,-11,12,1292796,"[-1, -1, 2, -1, 2, 1, 2, 1, -2, -2, 1, 2, 1, 2, -1, 2, 1, 2, 1, 1, -2, -2, -1, 2]"
