protein_id,algorithm,time,score,checked,placed,hash
146,dfs_bnb_mpi,0.00059,-4,5,157,"[-1, -2, 1, 1, 2, 2, -1, -1, 2]"
147,dfs_bnb_mpi,0.000485,-3,4,133,"[-1, -1, -1, 2, 2, 1, -2, 1, 2]"
148,dfs_bnb_mpi,0.000746,-4,5,219,"[-1, -1, 2, 1, 2, 1, 1, -2, -1]"
149,dfs_bnb_mpi,0.000993,-3,3,297,"[-1, -1, 2, 2, 2, 1, -2, -2, 1]"
150,dfs_bnb_mpi,0.0004,-2,3,123,"[-1, -2, -1, 2, 2, 2, 1, -2, 1]"
151,dfs_bnb_mpi,0.000382,-2,3,93,"[-1, -1, 2, 2, 1, -2, 1, 2, 2]"
152,dfs_bnb_mpi,0.000919,-3,4,267,"[-1, -1, 2, -1, -2, -2, 1, 1, 1]"
153,dfs_bnb_mpi,0.000152,-2,3,45,"[-1, -1, 2, 1, 1, 2, 2, 2, 2]"
154,dfs_bnb_mpi,0.001819,-3,3,608,"[-1, -1, 2, 2, 2, 1, -2, -2, 1]"
155,dfs_bnb_mpi,0.000403,-3,3,124,"[-1, -1, 2, 1, 2, -1, -1, -2, -1]"
156,dfs_bnb_mpi,0.002132,-3,4,571,"[-1, -1, 2, 1, 2, 1, 1, -2, -1]"
157,dfs_bnb_mpi,0.000758,-3,3,239,"[-1, -1, 2, 2, 2, 1, -2, -2, 1]"
160,dfs_bnb_mpi,0.000167,-3,3,49,"[-1, -1, 2, 1, 2, 1, -2, 1, 2]"
