protein_id,algorithm,time,score,checked,placed,hash
860,dfs_bnb_mpi,58.7068,-15,16,13941479,"[-1, -1, 2, 1, 2, -1, -1, -2, -2, -1, -2, 1, 1, -2, 1, 2, 1, -2, -2, -1, -1, -1, 2, -1]"
861,dfs_bnb_mpi,27.135,-15,16,6484045,"[-1, -1, 2, 2, 1, -2, 1, 2, 2, 2, -1, -2, -1, -1, -2, -2, -2, -1, 2, 2, 2, 2, 1, 1]"
862,dfs_bnb_mpi,103.628,-15,16,24590772,"[-1, -1, 2, 1, 2, 2, 1, 2, 1, 1, -2, 1, -2, -1, -2, 1, -2, -1, -1, 2, -1, 2, 1, 2]"
863,dfs_bnb_mpi,41.7919,-15,16,9260926,"[-1, -1, 2, 2, 2, 2, 1, 2, 1, 1, 1, -2, -1, -1, -2, -1, -2, -2, 1, 2, 1, 1, 2, -1]"
864,dfs_bnb_mpi,45.7209,-15,16,10152405,"[-1, -1, 2, 2, 2, 2, 2, 1, 1, 1, -2, 1, -2, -1, -1, 2, -1, -2, -2, 1, 1, -2, -1, -1]"
865,dfs_bnb_mpi,42.4493,-15,16,10399158,"[-1, -1, 2, 2, 2, 2, 1, -2, -2, 1, 2, 2, 1, 1, 1, -2, -1, -1, -2, 1, -2, -1, -1, -1]"
866,dfs_bnb_mpi,41.9978,-15,16,9297771,"[-1, -1, 2, 2, 1, -2, 1, 2, 2, 2, -1, -2, -1, 2, -1, -1, -2, 1, -2, -1, -2, -2, 1, 2]"
