protein_id,algorithm,time,score,checked,placed,hash
72,dfs_bnb_mpi,0.054771,-4,5,17897,"[-1, -2, 1, 1, 2, 2, -1, 2, 2, 2, 2, -1, -2, -2, -2, -2, -1, 2, 2]"
73,dfs_bnb_mpi,0.003937,-4,4,1235,"[-1, -1, 2, 2, 1, -2, 1, 2, 2, 1, -2, 1, -2, -1, -2, 1, 1, 2, 2]"
74,dfs_bnb_mpi,0.718996,-3,4,215898,"[-1, -1, 2, 2, 2, 2, 1, 1, -2, -2, -1, -2, 1, 1, 1, 2, 2, -1, -2]"
75,dfs_bnb_mpi,0.00366,-3,4,1146,"[-1, -1, 2, 2, 1, 1, -2, 1, -2, 1, 1, -2, -1, -1, -1, -1, -1, -1, 2]"
76,dfs_bnb_mpi,0.063288,-3,4,20263,"[-1, -1, 2, 2, 2, 2, 1, -2, 1, 2, 1, -2, -2, -1, -1, -2, 1, 1, 1]"
77,dfs_bnb_mpi,0.000154,-2,3,49,"[-1, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, -2, -1, -2, 1, 1, 2]"
78,dfs_bnb_mpi,0.758663,-2,3,242908,"[-1, -1, 2, 2, 2, 2, 2, 2, 1, 1, -2, -2, -2, -2, -2, -1, 2, 2, 2]"
79,dfs_bnb_mpi,0.046073,-3,4,13308,"[-1, -1, 2, 2, 2, -1, -1, -2, -2, 1, -2, -2, -1, 2, -1, 2, 2, 2, 2]"
