protein_id,algorithm,time,score,checked,placed,hash
986,dfs_bnb_mpi,56.8863,-14,15,13928862,"[-1, -2, 1, 1, 2, 2, -1, 2, 2, 1, -2, 1, 2, 1, -2, 1, -2, -2, -1, -2, -1, 2, 2, 1]"
987,dfs_bnb_mpi,59.5607,-13,14,14988960,"[-1, -1, 2, 1, 2, 1, -2, 1, 2, 1, 2, -1, 2, 2, -1, 2, -1, -2, -2, 1, -2, -1, -1, 2]"
988,dfs_bnb_mpi,92.283,-13,14,22861604,"[-1, -2, 1, 1, -2, 1, -2, -1, -1, 2, -1, -1, -1, -2, 1, -2, -1, -2, 1, 1, 1, 2, -1, 2]"
989,dfs_bnb_mpi,127.484,-14,15,34107361,"[-1, -2, -1, -2, 1, -2, 1, 1, 1, 1, 2, 2, -1, 2, 1, 2, -1, -1, -2, -2, -1, -2, 1, 1]"
990,dfs_bnb_mpi,109.39,-13,14,27073617,"[-1, -1, 2, -1, 2, -1, -2, -1, -1, -2, 1, -2, 1, -2, -2, 1, 2, 1, 1, 2, -1, -1, 2, -1]"
991,dfs_bnb_mpi,5.78506,-13,14,1539368,"[-1, -1, 2, 2, 1, -2, 1, 2, 2, 1, -2, -2, -2, 1, 2, 2, 2, 2, 1, -2, -2, 1, -2, -1]"
992,dfs_bnb_mpi,13.6885,-13,13,3229657,"[-1, -2, 1, 1, 2, 2, 2, 1, -2, 1, 2, 1, -2, -2, -1, -1, -2, 1, -2, -1, -1, -2, -1, 2]"
