protein_id,algorithm,time,score,checked,placed,hash
16,dfs_bnb_mpi,30315.1,-4,5,8506705709,"[-1, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, -1, -1, 2, -1, -2, -1, -2, 1, 1]"
17,dfs_bnb_mpi,251.595,-7,8,74772680,"[-1, -1, 2, 2, 2, 2, 2, 1, 1, -2, -1, -2, -2, -2, 1, 2, 1, -2, 1, 1, -2, -1, -1, -2, -1, -1, -1, -1, 2]"
18,dfs_bnb_mpi,470.243,-7,8,140186594,"[-1, -1, 2, 2, 2, 2, 1, -2, -2, -2, 1, 2, 2, 1, -2, -2, -2, -2, -1, -1, -2, -1, 2, -1, 2, 2, 2, 2, 2]"
19,dfs_bnb_mpi,85.9897,-8,9,25091134,"[-1, -1, 2, 2, 2, 2, -1, -1, -2, 1, -2, -1, -1, 2, -1, -2, -1, -2, 1, 1, -2, 1, 2, 1, -2, -2, 1, 1, 1]"
20,dfs_bnb_mpi,4679.82,-7,8,1387809770,"[-1, -1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, -1, -1, 2, -1, 2, 2, -1, -2, -2, -2, -1, -2, 1, -2, 1, 2, 2]"
21,dfs_bnb_mpi,3.15669,-8,9,840834,"[-1, -1, 2, 1, 1, 2, 2, 1, -2, 1, 1, -2, -2, -1, 2, -1, -2, -2, 1, -2, 1, 2, 1, 2, 2, 2, 2, 2, 2]"
22,dfs_bnb_mpi,6.86414,-8,9,1837730,"[-1, -1, 2, 2, 1, -2, 1, 2, 1, -2, -2, 1, -2, 1, -2, 1, 1, -2, -1, -1, -1, 2, -1, 2, -1, -1, -1, -1, 2]"
23,dfs_bnb_mpi,0.962514,-8,9,282005,"[-1, -1, 2, 2, 1, -2, 1, 1, -2, 1, 1, -2, -1, -1, -2, -1, 2, -1, -1, -1, 2, -1, -1, 2, 1, 1, 2, 2, 2]"
