protein_id,algorithm,time,score,checked,placed,hash
312,dfs_bnb_mpi,8646.47,-16,17,1864966495,"[-1, -2, -1, 2, -1, 2, 1, 2, -1, 2, 2, 1, 2, 1, 1, 1, -2, -2, -2, -2, -1, -1, 2, 1, 2, 2, -1, -2, -1]"
313,dfs_bnb_mpi,53.8639,-17,18,13641923,"[-1, -1, 2, 2, 2, 1, 2, 1, -2, -2, -1, -2, 1, 1, -2, -2, -2, -1, 2, -1, -2, -1, 2, -1, 2, -1, 2, 1, 2]"
314,dfs_bnb_mpi,121.175,-16,17,32729287,"[-1, -1, 2, 2, 1, 1, -2, 1, 1, -2, -1, -2, -1, -1, -1, -2, 1, 1, -2, 1, -2, 1, 2, 1, 2, 2, -1, -2, -1]"
315,dfs_bnb_mpi,371.649,-15,16,92899286,"[-1, -2, -2, 1, 2, 1, -2, 1, 2, 1, -2, 1, 2, 1, 2, -1, -1, 2, 1, 2, -1, -1, -2, -2, -1, 2, -1, 2, 2]"
316,dfs_bnb_mpi,220.342,-16,17,58871580,"[-1, -1, 2, 1, 2, 2, 2, 2, 1, 1, -2, -1, -2, -2, 1, 2, 1, -2, 1, 1, -2, -2, -1, 2, -1, -2, -1, 2, -1]"
317,dfs_bnb_mpi,751.386,-15,16,202094315,"[-1, -1, 2, -1, -2, -2, 1, 1, -2, -1, -1, -1, 2, 2, -1, -2, -2, -1, 2, 2, 2, 1, 1, 2, 1, 2, -1, -1, -2]"
318,dfs_bnb_mpi,408.764,-16,17,90263645,"[-1, -2, 1, 1, -2, 1, 1, 2, -1, 2, -1, 2, 1, 2, 2, 2, -1, -2, -2, -1, 2, 2, -1, -2, -1, -2, 1, -2, 1]"
319,dfs_bnb_mpi,2946.52,-16,17,701473516,"[-1, -1, -1, -1, 2, 1, 1, 1, 1, 1, -2, -2, 1, -2, -1, -2, -1, -2, -1, 2, -1, 2, -1, 2, 1, 1, 1, -2, -1]"
