protein_id,algorithm,time,score,checked,placed,hash
916,dfs_bnb_mpi,135.192,-12,13,32241952,"[-1, -1, 2, 2, 2, 1, -2, -2, 1, 2, 2, 2, 1, -2, -2, 1, -2, -1, -2, -2, -1, -1, -2, 1, 1, 1, 2, 2, 1]"
917,dfs_bnb_mpi,659.367,-12,13,148835179,"[-1, -1, 2, 2, 2, 2, 2, 1, 2, 1, -2, 1, 1, -2, -1, -1, -1, -2, 1, -2, -1, -2, 1, 1, 1, 2, 2, -1, -2]"
918,dfs_bnb_mpi,144.007,-13,14,40704345,"[-1, -1, 2, 2, 1, 2, -1, 2, 1, 2, -1, -1, -2, -1, -2, 1, -2, -1, -1, -1, -2, 1, 1, 1, -2, -2, -1, 2, -1]"
919,dfs_bnb_mpi,33.0498,-13,14,8709948,"[-1, -1, 2, 2, -1, -2, -1, -1, -2, 1, 1, -2, -2, -2, 1, 2, 2, 1, 1, -2, -1, -2, -2, -1, -1, -1, 2, 2, 2]"
920,dfs_bnb_mpi,14.6412,-14,15,3742274,"[-1, -1, 2, 2, 1, -2, 1, 2, 2, 1, 2, -1, -1, -2, -1, 2, 2, 1, 1, 2, -1, 2, -1, -2, -1, -2, -1, -2, 1]"
921,dfs_bnb_mpi,1012.92,-12,13,276105316,"[-1, -1, 2, 2, 1, -2, 1, 2, 2, 2, 1, -2, -2, 1, 2, 2, 2, 1, -2, -2, -2, 1, 2, 2, 1, 2, -1, 2, -1]"
922,dfs_bnb_mpi,32.1396,-13,14,7727643,"[-1, -1, 2, 1, 2, 1, -2, 1, 2, 2, -1, 2, 2, -1, -2, -2, -1, -2, -1, -2, -2, -2, 1, 1, 1, -2, -1, -1, -1]"
