protein_id,algorithm,time,score,checked,placed,hash
867,dfs_bnb_mpi,290.943,-10,11,84197526,"[-1, -2, 1, -2, 1, 2, 2, 2, -1, -1, -1, -2, -1, -2, 1, -2, 1, -2, -1, -1, 2, -1, -1, 2, 2, 2, 1, -2, -2]"
868,dfs_bnb_mpi,11326.1,-10,11,2963894936,"[-1, -1, 2, 2, 2, 2, 1, 1, 2, 2, 1, -2, -2, -2, -1, -1, -2, 1, 1, 1, 2, 1, -2, -2, -1, -2, -1, 2, -1]"
869,dfs_bnb_mpi,1151.93,-10,11,314214766,"[-1, -1, 2, 2, 2, -1, -2, -2, -2, -1, -1, -2, 1, 1, 1, 1, -2, -2, -1, 2, -1, -1, -1, -2, -2, 1, 1, 2, -1]"
870,dfs_bnb_mpi,3.8646,-11,12,1156241,"[-1, -1, 2, 2, 2, 1, -2, -2, 1, 2, 2, 1, -2, -2, -2, -2, -1, -2, -1, 2, -1, -2, -1, 2, 2, -1, 2, 1, 2]"
871,dfs_bnb_mpi,249.704,-10,11,74673781,"[-1, -1, 2, -1, -2, -2, -1, -2, 1, 1, 2, 1, 1, -2, -1, -2, 1, -2, -1, -2, -1, -1, 2, 1, 2, -1, -1, -1, 2]"
872,dfs_bnb_mpi,413.589,-10,11,123940509,"[-1, -1, 2, 1, 2, 2, 1, -2, -2, 1, 2, 1, -2, -2, -1, -2, 1, -2, -1, -1, 2, -1, -2, -1, -1, -1, 2, 1, 1]"
873,dfs_bnb_mpi,4.72517,-11,12,1383572,"[-1, -2, -1, -1, -2, 1, -2, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 2, -1, -2, -1, 2, -1, -2, -1, -2, -1, 2]"
