protein_id,algorithm,time,score,checked,placed,hash
256,dfs_bnb_mpi,0.075925,-3,4,22733,"[-1, -1, 2, 2, 2, 2, 2, 2, 1, -2, 1, 1, -2, -1, -1, -2, 1, 1, 1]"
257,dfs_bnb_mpi,1.05537,-4,5,326849,"[-1, -1, 2, 2, 2, 2, -1, -1, -2, -1, -1, -2, 1, 1, 1, -2, -2, -1, 2]"
258,dfs_bnb_mpi,6.35599,-5,6,1983878,"[-1, -1, -1, 2, 2, 2, 1, 2, 1, -2, 1, 1, -2, -1, -2, -1, -1, 2, 1]"
259,dfs_bnb_mpi,20.9032,-2,3,4647969,"[-1, -1, 2, 2, 2, 2, 2, 2, -1, -1, -2, -2, -2, -2, -2, 1, -2, -1, -1]"
260,dfs_bnb_mpi,0.845871,-5,6,261124,"[-1, -1, 2, 1, 2, 1, 2, 2, 2, 1, -2, -2, -2, 1, 1, -2, -1, -1, -1]"
261,dfs_bnb_mpi,0.021815,-4,5,5905,"[-1, -1, 2, 1, 1, 1, 2, 1, -2, -2, -1, -2, 1, 1, 2, 2, 2, 2, 2]"
262,dfs_bnb_mpi,1.50497,-2,3,446826,"[-1, -1, 2, 2, 2, 2, 2, 2, 1, -2, 1, 2, 2, -1, -1, -1, -2, -2, -1]"
263,dfs_bnb_mpi,2.91163,-4,5,918386,"[-1, -1, 2, 2, -1, -2, -1, 2, 2, 2, -1, -2, -2, -2, -2, 1, 1, -2, 1]"
