protein_id,algorithm,time,score,checked,placed,hash
168,dfs_bnb_mpi,0.881884,-10,11,239096,"[-1, -1, -1, 2, 1, 1, 2, 1, -2, 1, -2, -2, 1, -2, -1, -1, -1, 2, 1]"
169,dfs_bnb_mpi,1.48959,-10,11,353914,"[-1, -2, -2, -1, -2, 1, 1, 1, 1, 2, -1, -1, 2, 1, 2, 2, 1, -2, -2]"
170,dfs_bnb_mpi,0.421498,-9,9,104449,"[-1, -1, 2, 1, 1, 2, -1, -1, 2, -1, -2, -2, -1, -1, -2, 1, -2, 1, 2]"
171,dfs_bnb_mpi,0.330381,-8,9,85582,"[-1, -2, 1, -2, -1, -2, -1, 2, 2, 2, 2, 1, 2, -1, -1, -2, -2, -2, -1]"
172,dfs_bnb_mpi,0.796548,-11,11,212484,"[-1, -1, 2, 1, 1, 1, -2, 1, -2, -1, -2, -1, -2, -1, 2, -1, 2, 1, 1]"
173,dfs_bnb_mpi,0.44358,-9,10,118067,"[-1, -1, 2, 2, -1, 2, 1, 1, -2, -2, 1, 2, 2, 2, 2, -1, -1, -2, 1]"
174,dfs_bnb_mpi,2.04013,-10,11,473400,"[-1, -2, -1, 2, 2, 1, 2, 1, 2, 2, 1, 1, -2, -1, -2, 1, -2, -1, -1]"
175,dfs_bnb_mpi,1.16714,-9,10,334494,"[-1, -1, 2, 1, 2, 2, 2, 1, -2, -2, 1, 1, -2, 1, -2, -1, -1, 2, -1]"
