protein_id,algorithm,time,score,checked,placed,hash
448,dfs_bnb_mpi,67.6011,-10,11,19619878,"[-1, -1, 2, 2, 1, 2, 2, 1, -2, 1, 1, -2, -2, 1, -2, -2, -1, 2, -1, 2, 2, -1, -2, -1]"
449,dfs_bnb_mpi,10.3225,-9,10,2953903,"[-1, -1, 2, 1, 1, 2, 2, 2, -1, -1, -2, 1, -2, -1, -1, 2, 2, -1, -2, -1, -2, 1, -2, 1]"
450,dfs_bnb_mpi,3.35568,-8,9,1013506,"[-1, -1, 2, 2, 1, 2, -1, -1, -2, -2, -1, -2, 1, -2, -2, -2, 1, 1, 2, -1, 2, 1, 1, 1]"
451,dfs_bnb_mpi,79.96,-9,10,21640965,"[-1, -1, 2, 2, 2, 2, 1, 2, -1, 2, -1, -2, -1, -2, 1, -2, -1, -1, 2, -1, 2, 2, 1, -2]"
452,dfs_bnb_mpi,482.11,-9,10,121319705,"[-1, -1, 2, -1, 2, 2, -1, -2, -1, 2, -1, -2, -2, -1, -2, 1, 1, -2, 1, 1, 2, -1, 2, -1]"
453,dfs_bnb_mpi,121.791,-10,11,35020176,"[-1, -2, -1, -1, -2, 1, 1, 1, 2, 1, -2, 1, -2, 1, 1, -2, -1, -1, -1, -1, -1, 2, 1, 1]"
454,dfs_bnb_mpi,5.05378,-8,9,1293503,"[-1, -1, 2, 2, -1, 2, -1, -2, -1, -2, -1, -1, -2, 1, 1, 1, 2, 1, -2, -2, 1, 1, 1, 1]"
455,dfs_bnb_mpi,12.7771,-9,10,3780902,"[-1, -2, 1, 1, 2, 2, 1, 1, -2, -1, -2, 1, -2, -1, -2, -2, -1, 2, 2, -1, -1, -2, 1, -2]"
