protein_id,algorithm,time,score,checked,placed,hash
800,dfs_bnb_mpi,5.64499,-14,15,1280525,"[-1, -1, 2, 2, 1, -2, 1, 2, 2, 1, 2, 1, 1, -2, -1, -2, -1, -2, -2, 1, 2, 1, 2, 1]"
801,dfs_bnb_mpi,18.8936,-15,16,4518867,"[-1, -1, 2, 1, 1, 1, -2, 1, -2, -2, -1, 2, -1, -1, -1, -2, 1, -2, -2, 1, 1, 2, -1, 2]"
802,dfs_bnb_mpi,59.8745,-14,15,14660727,"[-1, -1, 2, 2, 2, 2, 1, -2, -2, 1, 2, 2, 1, 2, 1, -2, -2, -1, -2, 1, -2, -1, -1, -1]"
803,dfs_bnb_mpi,33.6853,-15,16,7745817,"[-1, -1, 2, 2, 1, -2, 1, 1, -2, -2, -1, -1, -1, -1, -1, 2, 1, 2, 2, 2, 1, 1, 1, -2]"
804,dfs_bnb_mpi,58.8939,-15,16,14360517,"[-1, -1, 2, 2, 2, 2, 2, 1, 2, 1, -2, 1, -2, -2, -1, -2, 1, -2, -1, -1, 2, 2, 2, 1]"
805,dfs_bnb_mpi,37.4992,-15,16,9621397,"[-1, -1, 2, 2, 1, 2, 2, 1, 1, 1, -2, -1, -1, -2, 1, 1, -2, 1, -2, -1, -1, 2, -1, -1]"
806,dfs_bnb_mpi,9.49037,-15,16,2363737,"[-1, -1, 2, 2, 2, 1, 1, 1, -2, -1, -1, -2, 1, 1, 1, 2, 1, -2, -2, -1, -1, -2, -1, -1]"
807,dfs_bnb_mpi,134.301,-15,16,29652273,"[-1, -2, 1, 1, 2, 2, -1, 2, 1, 1, 1, 1, -2, -2, -2, -1, 2, 2, -1, -2, -2, -2, -1, -1]"
